Serial Number,Name,UUID,Hash
91,udeme-great,d1476409-6f8b-4be9-8c93-24d9123749c5,fc6b7d2e3bd82e0c19b1b9c493eb597566fb2bcb6788cf8fb3c6c65e8d97b8fd
92,femi-tech-bro,ba3ec22a-13d5-4e19-9b7f-aac764fda28c,25b9c03ab98540842be1a6b00a7027a5713e17ac1e470531dccb1d07852747b2
93,sai-baba,fdfff369-5b57-4612-9f89-f5d408f24a35,05ae6b350bddf8ae553dc8633fdb75d8f33495a9a491a687908427dfb1c75599
94,omo-pastor,49e09559-61a6-41ff-811a-272721a7475c,a23f4f704596c68c8935aaf1da12306283d9c2e3d8a434bd71d13b954080251e
95,obi-container,4b64cf48-94fa-4aed-8cf2-452974b48ee3,5c7091b9b5345b0ec1c5b76fa19f55f8c0d0fea42470942b9ed1baa9e95b83ce
96,erigga-international,3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,319b66fb9af1ad96de50cb408f8bd1352851e806864f48fc822445d974c289ba
97,ayo-web3-bro,c137ec2b-18cd-4c29-a194-af29ac9e6c1c,77c6a33bfd6d6b670bd692bf90a12bdf548b083ed67b6e8912582d5ea7ee848f
98,phoebe-queen-bee,1277e9c0-81dc-4747-89df-a9d2ae4fcf96,5e0fac61c7f4e845e86535d8f80f5f3c4c6dd6c304dc5787576ba9b639b0b097
99,rachel-warri-babe,19e6af3b-ef2d-46ba-ba05-59fb612ebbee,3025947822a359d7239e730fb4d1f790d4932c0b9348d702d9cc650b30445ebd
100,adun-preacher,cc4dfedf-c343-48db-ad67-e39452ec2380,e040e503ba0a25ad453c2ecd7ec5c928637226b5e1ac1a4833c2e099e37bffba
,,,
TEAM CHISEL,,,
101,adebola-omo-oba,fbf43611-f267-4cba-bf4b-a3ffdc122589,331944d7035b7f7f7b5e562404d22a1244a8d03cd6181fa2e36b1eda4ba9ab3f
102,chichi-the-dancer,e7c32b06-7022-49b4-bbe5-81e8c1d58583,02ee1ec63c478d2f51c0cc8bd50f4f7a141809417bbfde5928b2171c4e6c44e1
103,hammed-the-farmer,e57d8985-599e-49da-8d62-fc16b7ac93f2,34328e162f39e5f17b8e2f2fe76c3c6a39b880dd3c4b5528c181eff644bf1b08
104,farida-the-tivlady,31d3e229-003e-43c8-ba82-38f49cf58ccb,716138ac509a71bb50dbd5302133d0e5dc01ae17506f39410ab9a7c682a6224e
105,hannah-the-singer,281f5bd7-5282-458b-9811-e369980e7dee,85fc3962e81a7f6742e543c072dc72a881c03f793a39c32a02cb4a5de28f5b5e
106,nonso-the-igbogirl,5cfa76df-8376-4505-af12-78af24f108d6,94775f7820712d4fd42a6f21c6918594a8ec774084fc5540a9ebb117feed70c2
107,shade-olori,1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,5e74a30e4cff0b3a00d90de05e5d086c0ba4587f68ff41fee1b5a69cc73f53d8
108,quadri-the-teacher,d96a93e7-17a4-4efe-b09b-02185cc81ce8,b47fcb20a905d526071ec2c3ae6b4495f7a62d515cf215e9e57f7039d0a41c7c
109,Ifeanyi-the-dj,030f665d-2cd7-4376-aef5-4030dad9f2d6,b33e69219bd08da52519a438bdf7edaf2732149cc028ac91f7024b30ae4a7bf8
110,fayo-the-yorubademon,e270e278-a9b5-408d-b527-d518239a997b,02d6c16a5aeb682b99f4c0cca3f41e7e36ef6a011b355b53d10ad15784f84466
111,nkechi-the-actress,34b1136d-00b1-4f29-8a03-5b02291d47d5,5fa1b5b376809f5869374a10b2468cd373580c759a340099c493f606bdb8f0f7
112,hamzat-the-mallam,592eff9f-93b2-4452-a2ed-5d44ebc969db,e70e58f9f95b734bc8fc6391dfd21041d9c70ca4257749b2d4ae0977243b0ca5
113,nnena-pretty-girl,d9477612-ad63-408e-8d12-24679c647b32,4c69039e09cdf7b01a71675d75f53af37437714d73d391e71c14da0c4f6eaaec
114,tunde-the-boss,7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,737a6ff6d1fcf5c73c7856c6b34e3f23cd242b8b7737d054e65f11516b332986
115,nnamdi-the-barber,152758f3-9414-45a2-a809-95cb05a3de13,3911cd63c716d06059d6c487f757118c895f821cd80fbd35b459fcc46e12a503
116,amaka-the-hypepriestess,c7726e84-3c5c-4e66-8677-cbfb5c9ee850,21ddf8aa3f06610351a22ac165046e8d21bb805ffe06573a3da382880d7f22cd
117,kemi-foodie,3116cb6f-14c4-4d5a-af57-54253b72a309,9213ca218730bab21fd18cc7466b7cee54a6a900a522cd13b1090197b857ca8a
118,ada-the-fashionister,a14df1c1-7a5a-4a33-8780-0fb01c593da6,c80424bb8b69a72a72bd61b7a04d25f0d0618c129a6faf49651964e47a03f726
119,kayode-the-baller,fe17bfdc-c251-4654-8313-1ab793e11748,6a43c8e8dad60c14beb9539f93de406dbb4c3c7e6b9ee22ad794940c32b0ee20
120,kola-of-lagos,df295be1-1509-406e-a263-28a5dee0abca,dbb296a72ba488f76f19cb516cdef1fc59858805b3f01f9fd78111ae464248d9
,,,
TEAM BRAINBOX,,,
121,azikiwe-popular-trader,7ebde325-8efc-4997-811a-b5686269929e,0ced93e1526a1472e6f41ddb650709fda67bac3c5b302feea3ad17f246abf496
122,obasanjo-funny-guy,c136a120-a339-4080-96ca-1c93845c5848,c248c9ebe148e66577f433bc39096f9bf6ce18be95c5f891d328122c862734de
123,yakubu-village-chief,5b0c0d26-d204-4264-b579-081ff9df935b,c78045e60c839ead78364f970d8f24fa8fed4f164fc5b1cee9db834bb8c41c48
124,abacha-loves-smoking,8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,36139d3bd0a561361cf880b9755af87211a4dbaf068279c566d011c4cf3911e5
125,johnathan-good-leader,241e3713-4ce3-48d0-827f-b282ae2db6c4,2747d88bcfc3f11ff6865eac2e1d32dd5349587c93ff1614f9db91020fe94ef9
126,johnathan-genz-kid,90c0ae09-a35f-42ad-b93c-dcf30169acd9,27dd0169f594087d088d49a6a2ce5c01f3f1de547f12ab2438585a81ec5b6396
127,eddy-the-community,5cabf9d9-882b-459e-9253-8c07eb045e2d,082d239fe032456e155631528ed3cd3dad6827d259a33b844a88ad6365f75297
128,olu-the-oba,04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,cd81dde8ad3488b3b31202f0c1517157d8e257cfd108b2dccbb2008aad7215ce
129,edu-the-biggest-trader,48d1de5f-5f3f-46aa-b2fd-68420a8e802b,dc34a0fb51f183ed2ea4ed0031b4fc648d3e6617f12ffc8c10077b65b0bad142
130,james-importer-and-exporter,22541251-022f-480c-8c1e-cf754dce16d6,84cb9b58ee330b3990dedfb269e70c309590b1c068df8819fd828a6c50ef4053
131,lanre-the-dreaded-guy,66a054cd-5541-4000-98aa-8f2e9892d880,4fb264ea0330cee03b207fdc585fe8b113be332fc5912c4418bf5485350b790c
132,olamide-the-street-boy,d50a35b1-b42e-4e0c-8dd8-9b892b56d371,82f5f8cd92cdd90f6aab7674321f776dbb161342519b8c344d522a73fab8d70e
133,uche-peace-loving-man,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,91789695556b4c51196c4f47d520d4b150d5f9612cbb788fddc4f584a62a31b7
134,dave-the-tech-bro,c0857b11-bf0e-46a4-9108-b8eb93d83e74,9d97df1a1eaa0a4ad34127ce44bba7c977e61c52c0d03de311b35fc96e41eb08
135,obi-the-biggest-humanitarian,201a408c-7a2e-42d9-a62c-0136c885c211,79222d42e6840069cf222857dce90a3de6dd34cd3be4ffb4e756fd726442fdd5
136,precious-the-emotional-girl,b6a41ff1-51ce-42f7-9933-85d0a22ced68,f0b6ecf8b5aa7bd7eb12c6290bc7af3829d53d7b7fc3b3cc960a5a3065460414
137,ella-serious-minded,04036447-f43e-4bfb-9503-f55c9064b14e,656ceb1a8d189c1dd731865d57865538287baa7995df00037d1dc238176fac17
138,cynthia-cute-eyes,5d12847b-6d71-4691-8337-2e6ef3e283b2,ef39a5d5c8491a633d34ba4151b38b5756d5c3dda49f612b04a972eb8bcd47b9
139,mary-with-hair,98035e8b-6540-4464-8a3c-fdac9f07b168,03a5ac832bcd7552f3e09ed4947defcd222ebf6374a8305fdb963582398170d9
140,ada-chewing-bubble-gum,15309dc5-e483-4658-b503-db85ba2c1722,f6c73b2b6940bfa34d3c82a05a3a42b9c5c695628df1f15ec288b8b6f028f52e
,,,
TEAM PLUG,,,
141,viganem-the-drummer-girl,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,c699d8466cd632825fe39b3d830a03071d5a80252a9988fc098c22426228d415
142,lenusuka-the- big-woman,e564a43a-ef77-487d-a88e-749d20a09fd8,38e41a0d9bcfd9476d68a1760f614ea519ef922ceef499c89e87eefa56b03226
143,enepua-the-clout-queen,6dc7e452-0626-4f4c-a28c-f5db3532e305,771c95d785516572a7d51f07d121a6e7eda85e63a56a4c8460b20082e53cefad
144,usifong-queen-of-mushin,221263d0-8775-49f8-bbf8-4b08b49e1482,02722fac710e61048f3dbeff8f9fbd0afc43ca3fdee3898f68708a67b947b45a
145,akinyim-the-agbaya,c1070dce-48a1-4ae8-b9a4-d070859a8377,e27dff33a95d2509c776681c4a1f87824503fd3549152d0d2cbd515648962cf2
146,zawadi-mr-sleep-everywhere,c22489fe-574b-47f3-9667-c9c798b2d4df,297c2ebb1e2cc11ca61be381bb7809467aa77ec1f69752301cd8273a3be3bd8d
147,chepkirui-mr-self-love,1a91e778-d214-476b-a667-94e9ecb8b5ce,6ada964cf713b4ab7f1f8ec24931c1e1575a8b74512f0b69ada2aadc8ae2b971
148,naserian-mr-fear-fear,8177cf38-8284-4eb4-b19c-04473bcb3b5e,4512eb7a7df2301fd9faf440e8009018d1091d89e4d12fb9334be3c958f7f229
149,wawuda-the-ashawo-of-africa,0554bf35-f588-4009-aafc-ef875b878c29,d64961253dfdf5c8eafb92f2e3e3484944c4d30a53eccbec088638afc849e1ba
150,kerubo-the-igbo-smoker,33ba8e73-7949-4bc7-ba27-37ee1d573946,5e07cdd4a37cbc32d38b3f59ed09c8319736eff9ada0117222ff94c328717384
151,rehema-the- olodo,1fb33783-4898-48cf-8a73-f81afc71e1a8,a55ae1224a43a9122376eab85c652b8659f825cd956f63973679a7fdbff3a33d
152,nekesa-the-brainbox,7ba909bd-19a1-454d-a86c-a45e85cb94a6,a9d223c496252f33f731c80db8a2f6e94491bf082345f15a89fe862da71faeb5
153,kiokoli-the-slowrunner,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,ae4a5bc35187554a7b100ba34c3a0ee7f1ca83eaa768528a1e91541a6e6c023f
154,adjuani-uncle-wire-wire,36cd959f-d280-41f6-af76-765715c72527,0c6429c9843dd2b9721176506830d71ca825b5b116e760715402bc7ddad314c1
155,ajobaru-a-serial-killer,9d262f55-73d7-4b95-9a82-42356dbb085c,7904b9d383228f61d0e08c9901f410afca750504de6975022bd28e47881caab7
156,effiadem-the-fireman,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,9e1637eddd338196b93fed71a3265745c7c25971ef1741f39cb8d3b7d6d742e4
157,deladem-the-commandoo,88106b92-da30-46ad-a3cc-d528683b9e33,74f83f2af62e26b66e7e5954f4a6661b2af41fe61fce6f9fd8f6178c56d8c70f
158,dogbeda-the-monger,66a09968-cb92-4378-a588-49947f68c537,677139f677414f0bbda8f47b1c4c53e4c80915b806252664752a042cc9de7d98
159,enyonyam-our-slay-mama,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,2d2cb8c8ba14543a046513b460e0ab88bb4ba31954515ef4b35c611655ffeb06
160,lumusi-pro-technician,b07676a6-c611-410d-8426-46c9c525189a,44f80f2d878569da8963f87f0097d06c90271f8a13b8c639e45c5cedc3feae94
,,,
TEAM HEADLIGHT,,,
161,funmi-the-fashionist,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,544ac5069b30e768a7c12eb6cd07dbd8213fd2f37add8299a4dfc67cec30ab19
162,bola-the-funky,ac721b71-cbc5-425c-851f-ee826973f0b9,1ba65839becc2e9bf1884f9f7743ff1324f1c442aa61b63572ede9da8a12e922
163,bimpe-the-runzgirl,eaa7662f-6926-468a-9add-e791916ae42b,8fe4f1ab1b0b32c242dd991f0f2090be78a2b93db9564ee628a42e64177d35f8
164,sola-the-queen,d5f23ad3-832a-4d3e-814e-e23f466d18a4,436b0bcea2cb92039f0fdbcfeec31eb640fb8cb8d1ca7d85ce2c2aa3bea4568c
165,temi-afro-girl,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,ba11e9cff0656519284b8544bf5c4bed4d409198e26cc08c9bef0c45dce0394a
166,jonny-the-bravo,2b345988-b4b0-453b-ad39-efe1321bc8f1,e7e607aa73e650a0164c123c5a4b1d87ab36f8e98b8c9787ca153e888438fd7c
167,tunde-the-bigman,56db423e-8b09-453e-b5fc-61f4da9d7a6f,319f24ec29ee9b505ce7f0b59516f5b7869990b5745c52a38e0fad0e7974524d
168,joe-the-plain,7a3083bd-5aa2-48b5-a30b-4445cc060f57,a8c4ebdebbe18f9bf0c2c01577c68b3c3a6ad7bf098a889241e9756767dff0d7
